;country;total_vaccinations;mean_daily_vaccinations
0;United States;75236003.0;982394.57
1;China;40520000.0;623616.0
2;European Union;33042239.0;375428.49
3;United Kingdom;20885683.0;258688.14
4;England;17641792.0;218455.14
5;India;14301266.0;306434.45
6;Turkey;8547875.0;187049.04
7;Brazil;8433568.0;181625.3
8;Israel;8092725.0;111702.21
9;Germany;6174362.0;92255.95
10;United Arab Emirates;6020461.0;94751.56
11;France;4550370.0;66774.26
12;Italy;4302717.0;63285.41
13;Russia;3900000.0;62646.44
14;Spain;3605635.0;63318.75
15;Morocco;3597903.0;104304.0
16;Chile;3361278.0;49927.54
17;Poland;3336354.0;50428.02
18;Bangladesh;3110525.0;83782.64
19;Indonesia;2690163.0;50471.64
20;Mexico;2455095.0;31704.86
21;Canada;1778405.0;29900.76
22;Scotland;1670207.0;20701.95
23;Romania;1532873.0;23928.77
24;Serbia;1436682.0;26690.12
25;Argentina;1025003.0;14642.03
26;Wales;1020023.0;12629.0
27;Netherlands;952919.0;17406.6
28;Hungary;936938.0;12715.39
29;Greece;885821.0;13029.89
30;Portugal;861922.0;12325.67
31;Belgium;800030.0;12381.93
32;Saudi Arabia;780667.0;11662.57
33;Switzerland;748791.0;16479.03
34;Sweden;720631.0;10748.28
35;Czechia;653206.0;9944.7
36;Austria;645986.0;12276.16
37;Denmark;601976.0;8976.11
38;Northern Ireland;553661.0;6902.0
39;Norway;468344.0;6887.63
40;Sri Lanka;466350.0;14838.57
41;Finland;451999.0;6865.29
42;Slovakia;439221.0;7761.71
43;Ireland;409529.0;6581.88
44;Nepal;402264.0;16525.64
45;Singapore;360000.0;8674.47
46;Bahrain;298171.0;4010.6
47;Peru;265608.0;16538.78
48;Lithuania;237192.0;2707.49
49;Bulgaria;212445.0;3006.9
50;Croatia;194267.0;2882.3
51;Kuwait;175000.0;3160.61
52;Slovenia;172528.0;2503.98
53;Jordan;150000.0;2423.11
54;Qatar;140000.0;2261.88
55;Colombia;130578.0;7528.67
56;Panama;114529.0;2397.62
57;Maldives;111415.0;3786.69
58;Estonia;111039.0;1602.89
59;Myanmar;103142.0;11831.86
60;Costa Rica;101183.0;1667.27
61;Malta;77967.0;1544.2
62;Cyprus;76176.0;1242.75
63;Seychelles;75096.0;1499.77
64;Algeria;75000.0;3289.05
65;Pakistan;72882.0;3610.84
66;South Africa;70527.0;4645.83
67;Oman;67660.0;1154.65
68;Azerbaijan;65000.0;3250.0
69;Latvia;62065.0;970.37
70;Gibraltar;36808.0;754.4
71;Luxembourg;36071.0;551.26
72;Barbados;33633.0;2319.64
73;Iceland;32157.0;417.76
74;Australia;31894.0;2330.57
75;Jersey;29312.0;641.5
76;Japan;28530.0;2387.33
77;Dominican Republic;26400.0;2191.56
78;Lebanon;26400.0;1856.47
79;Senegal;25653.0;3316.6
80;Ecuador;24492.0;543.68
81;Kazakhstan;22294.0;1008.38
82;Isle of Man;21452.0;426.5
83;South Korea;21177.0;11903.0
84;Cayman Islands;21106.0;329.69
85;Belarus;20944.0;403.0
86;Guernsey;20047.0;497.57
87;Hong Kong;20000.0;2857.0
88;Zimbabwe;18843.0;1145.5
89;Bermuda;17073.0;377.44
90;Cambodia;13101.0;656.88
91;Northern Cyprus;11000.0;1105.75
92;Bolivia;10167.0;568.86
93;Albania;10135.0;179.1
94;Iran;10000.0;1487.22
95;Faeroe Islands;6713.0;84.0
96;Turks and Caicos Islands;6433.0;222.0
97;El Salvador;6000.0;1200.0
98;Mauritius;3843.0;141.35
99;Malaysia;3580.0;895.0
100;Ukraine;3141.0;1206.33
101;Anguilla;2762.0;167.2
102;Greenland;2584.0;
103;Guatemala;2490.0;1245.0
104;Monaco;2400.0;126.0
105;Andorra;2390.0;62.0
106;Liechtenstein;2218.0;52.62
107;Macao;2000.0;269.9
108;Guyana;1852.0;167.82
109;Falkland Islands;1732.0;147.0
110;New Zealand;1500.0;133.3
111;Egypt;1315.0;219.0
112;Montenegro;1288.0;221.67
113;Paraguay;1000.0;250.0
114;Trinidad and Tobago;440.0;63.0
115;Venezuela;157.0;31.0
116;Saint Helena;107.0;
117;San Marino;35.0;
